68,Alexander, James D.,,8,MD,Infantry,A,,,,1864,178.1,2
69,Alexander, Robert,,123,IL,Infantry,B,,,,1864,178.1,2
70,Alexander, Robert,,123,IL,Infantry,B,,,,1864,186,17
71,Alford, H.C.,"Alford, Henry C.",152,NY,Infantry,F,,,,1865,188.1,3
72,Allbirt, Ulys.,"Albert, Ulys.",54,PA,Infantry,G,,,,1864,178.1,2
73,Allcom, George,"Alcom, George; Allcorn, George",5,NY,Heavy Artillery,D,Pvt.,,,1864,178.1,2
74,Allen,,,2,PA,Heavy Artillery,,,inquiry of brother John J. Allen,2 PA Provisional Heavy Artillery,1864,178.1,3
75,Allen, Andrew,"Allee, Andrew",1,NY,Veteran Cavalry,,,,,1865,188.1,3
76,Allen, Benjamin F.,,71,NY,Infantry,H,,,73 NY Infantry,1863,171.1,3
77,Allen, Charles,,6,NY,Cavalry,,Pvt.,,,1863,171.1,3
78,Allen, E.N.,,17,CT,Infantry,E,,,,1863,171.1,3
79,Allen, George,,179,NY,Infantry,C,Cpl.,,,1863,171.1,3
80,Allen, George H.,,2,NJ,Infantry,C,,,,1863,171.1,3
81,Allen, George L.,"Allen, George S.",115,OH,Infantry,G,,,,1865,188.1,3
82,Allen, H.H.,,8,MO,Infantry,,,,,1865,188.1,3
83,Allen, Henry,,20,PA,Cavalry,L,Pvt.,,,1864,178.1,3
84,Allen, Hiram,,7,MI,Cavalry,C,,,,1864,178.1,3
85,Allen, James B.,,7,MA,Infantry,D,,,,1864,178.1,3
86,Allen, James M.,,1,PA,Rifles,H,Sgt.,,190 PA Infantry,1864,178.1,3
87,Allen, John,,9,NY,Cavalry,F,Pvt.,,,1864,178.1,3
88,Allen, John B.,,107,OH,Infantry,E,,,,1865,188.1,3
89,Allen, John W.,"Allen, J.W.",,,,E,,2 East TN Infantry,2 TN Infantry,1865,188.1,3
90,Allen, John Y.,,10,US,Infantry,B,,,,1864,178.1,3
91,Allen, Joseph N.,,5,NY,Veteran Vols.,A,Sgt.,,,1864,181.2,6
92,Allen, Louis,,102,MI,Infantry,I,Pvt.,,,1865,188.1,3
93,Allen, Luke,,10,NY,Cavalry,G,Sgt.,,,1863,171.1,3
94,Allen, Samuel,,2,IL,Artillery,L,Pvt.,,,1865,188.1,3
95,Allen, Stephen D.,,,,,,,"inquiry of Mary A. Allen, Norwich, CT",,1864,178.1,3
96,Allison, Francis,,6,US,Colored Vols.,,,,,1864,183.2,10
97,Allison, K.,,2,DE,Infantry,C,Cpl.,,,1863,171.1,3
98,Allman, Samuel,,57,MA,Infantry,,,,,1864,178.1,3
99,Allward, William H.,,6,NJ,Infantry,C,,,,1864,178.1,3
100,Allyn, John O.,"Allen, John",52,NY,Infantry,D,,,,1864,178.1,3
101,Alt, Jacob,,,PA,,G,,(137th or 139th PA Infantry),,1864,184.3,14
102,Altemus, John,,116,PA,Infantry,A,,,,1863,171.1,3
103,Alter, John W.,,63,IN,Infantry,D,,,,1862-1863,192.1,1
104,Alters, Jacob A.,,101,PA,Infantry,K,Pvt.,,,1864,178.1,3
105,Althoff, Henry,"Allthoff, Henry",107,OH,Infantry,B,,,,1865,188.1,3
106,Alvan, William D.,,23,PA,Infantry,,Sgt.,,,1864,178.1,3
107,Alworth, John W.,,149,PA,Infantry,E,,,,1862-1863,192.1,1
108,Amber, John,,72,PA,Infantry,,,,,1864,178.1,3
109,Amend, John,,69,NY,Infantry,B,,,,1865,188.1,4
110,Ames, Cyrus,,91,NY,Infantry,H,,,,1865,188.1,4
111,Ames, Cyrus,"Ames, Cyrus W.",91,NY,Infantry,H,,,,1865,191.1,2
112,Ames, Orville,"Armes, Orville",,MN,Infantry,B,,1st Battalion,"AGO response as to Orville Armes, 1 MA Infantry",1865,188.1,4
113,Ames, Robert,,153,NY,Infantry,I,,,,1865,188.1,4
114,Ames, Robert E.,,153,NY,Infantry,I,,,,1865,188.3,2
115,Amsted, G.,"Anstad, Godfried; Onstead, Godfrey",148,PA,Infantry,B,,,,1865,188.1,4
116,Ancona, Jacob D',"D'Ancona, Jacob",6,NY,Battery,C,,,,1864,178.1,4
117,Anderson, A. Jackson,,11,PA,Infantry,G,,,,1863,171.1,4
118,Anderson, Alexander,,30,US,CT,H,,,,1865,188.1,5
119,Anderson, Alexander,,39,US,CT,H,,,,1865,188.1,5
120,Anderson, C.H.,"Anderton, Charles Henry",1,OH,Infantry,D,,,,1865,188.1,5
121,Anderson, Charles,,3,NY,Artillery,L,,,,1863,171.1,4
122,Anderson, Charles H.,,6,ME,Infantry,G,Pvt.,,,1863,171.1,4
123,Anderson, G.A.,"Anderson, George A.",7,US,CT,D,,,,1865,188.1,5
124,Anderson, H.W.,"Andrews, Hugh W.",27,IA,Infantry,D,,,,1865,188.1,5
125,Anderson, James,,8,US,Infantry,A,,"""Colored""",,1864,178.1,4
126,Anderson, James,,20,ME,Infantry,D,,,,1865,188.1,5
127,Anderson, John,,19,ME,Infantry,I,,,,1863,171.1,4
128,Anderson, John,,54,NY,Infantry,,,,,1863,171.1,4
129,Anderson, John,,,,,,,"USS ""Gennessee""",,1863,175.1,12
130,Anderson, John,,16,ME,Infantry,C,Pvt.,,,1864,178.1,4
131,Anderson, John,,,US,Navy,,,"US Gunboat ""Gennessee""",,1864,178.1,4
132,Anderson, John,,7,NY,Artillery,B,,,,1864,178.1,4
133,Anderson, John,,16,ME,Infantry,C,,"20 ME Infantry, Co. B",,1865,188.1,5
134,Anderson, John,,19,ME,Infantry,I,,,,1865,188.1,5
135,Anderson, John V.,"Anderson, John D.",7,NY,Artillery,H,,,,1864,178.1,4
136,Anderson, Joseph,,27,US,Colored Troops,,,,,1864,178.1,4
137,Anderson, O.H.,,48,PA,Infantry,,,,,1863,171.1,4
138,Anderson, Richard,,39,US,CT,G,,,,1865,188.1,5
139,Anderson, Robert R.,,91,PA,Infantry,D,,,,1864,178.1,4
140,Anderson, Thomas,,90,NY,Infantry,B,,,,1863,171.1,4
141,Andre, Augusta,"Andre, (Auguste)",4,NY,Cavalry,,,9 NY Veteran Cavalry,,1865,188.1,6
142,Andree, August,,4,NY,Cavalry,A,,,,1864,178.1,4
143,Andress, Edward S.,,183,PA,Infantry,A,Pvt.,,,1864,178.1,4
144,Andrews, George P.,,1,ME,Cavalry,D,,,,1864,178.1,5
145,Andrews, H.W.,,27,IA,Infantry,D,Pvt.,,,1864,178.1,5
146,Andrews, Hugh W.,,27,IA,Infantry,D,Pvt.,,,1865,188.1,6
147,Andrews, James,,112,PA,Infantry,E,,,,1864,178.1,5
